Filename,Transcription,Translation
KOMAMBOGA-2025-03-06T120900-18.wav,"Ekirime ewaffe ekkomambuga, bw'ogenda ko wano abakyala we babeera ddagala nti tebaagala kuzaala. Buli kimu kye babakolako babajjako ssente, kitali kirungi, babajjako enkumi ttaano, okujja teeka mu ttaano n'okujja mu ttaano ate nga gavumenti yabaga a'is free, awalala bye tugenda ko omuleeber woodyeyo, babajjako ssente naddala ekiro, olw'okuba abanene tebabaawo bakola bye banyumirana bye baagala.","In our case it's a mango plantation, if you go to a place where women are medicated for infertility, everything they do for them is charged, which is not good, they are charged five thousand shillings, five thousand shillings and five thousand shillings and the government is charged a's free, elsewhere we go to the market, they are charged, especially at night, because the big people don't have"
KOMAMBOGA-2025-03-06T114900-15.wav,Nze mpereza njisanze bulungi era baakoze bulungi siina buzibu bwonna.,I have found my services to be effective and efficient and I have no problem with it.
KOMAMBOGA-2025-03-07T100600-25.wav,Barungi nnyo kubanga jana nze nga ndi mu lwadde ne bankebera obulwadde ne babufuna era kati ndi ku bujjanjabi ndi ku mpiso n'enkyakumamu.,"They are very good because in the past when I was sick, I was diagnosed with a disease and now I am on medication, I am on injections and I am still on myself."
KOMAMBOGA-2025-03-07T101200-26.wav,"Tewadde wa musawo wa manyo naye atukozeeko bulungi nnyo okuva lw'ekibaza eyo. Twatandikidde okufuna ebbaluwa ebadde bulungi nnyo, paka lwetuvuddeyo.","They are not a very good doctor, but they have done us a lot of good since they arrived. We started receiving very good letters, until we left."
KOMAMBOGA-2025-03-07T103000-28.wav,"Biro bitera kuba birungi naye oluusi busuubamu kwaka tonotono, eeh ate oluusi naffe ndowooza oluusi bwe tujja leeti, basawo ne baba nga bagize naye era si nnyo tebali tebali babi, balungi.","These are usually good but sometimes they bring a little bit of hope, and sometimes we also think sometimes when we come late, the doctors are busy but not so much, they are not bad, they are good."
KOMAMBOGA-2025-03-07T102300-27.wav,Ndi bwe naye nze nnsanga abantu bangi kati nzirayo.,"I am, but I meet a lot of people nowadays."
KOMAMBOGA-2025-03-07T104300-31.wav,Nzeeba nkozeeko bulungi mbadde nze ndese mwana ku kumugema naye teba nkozeeko bubi.,I think I have done well in immunizing my child but I have not done well in immunizing them.
KOMAMBOGA-2025-03-07T103300-29.wav,Anenze ku lala ennyo naye bankozeko mangu.,They have been away for a long time but they have been able to reach me quickly.
KOMAMBOGA-2025-03-07T103900-30.wav,Bbadde nze gemesa mwana so bankozeeko mba maliriza okumugema kati nzirayo waka.,I was the one who vaccinated the child and they vaccinated me and now I am going back home.
KOMAMBOGA-2025-03-07T111500-34.wav,"Nimadde nze criminalisation, abasawo babaddewo era nkolebwako bulungi.","I have been the victim of criminalisation, health workers have been there and I have been handled well."
KOMAMBOGA-2025-03-07T112700-35.wav,"Wano bamuwadde eki e'treatment ya Nactam. Naye bino ne bagimuwadde bulungi. Ewatali kunta kale kuntawanyaamu wadde. Batuwakkayo emala, batufaako bambi tusi amabye batukolera.","They were given the Nactam treatment here. But they gave it to them very well. They didn't kill me, so they didn't bother me at all. They just gave it to us, they cared about us, sorry for what they did to us."
KOMAMBOGA-2025-03-07T113800-37.wav,"Nze mbadde ndese mwana wange mukebera mu kukolerako treatment. Empeereza tebadde mbi, bamukozeeko ne bamukebera ne batuwa treatment ne bagamba eddako oba bulungi.","I have been taking my son for a medical checkup. The services have not been bad, they have been tested, they have been given treatment, and they tell us if they are okay."
KOMAMBOGA-2025-03-07T113100-36.wav,Badde nze kugemesa mwana naye empeereza ebadde nnungi kubanga binyanguyidde situtte ewe yadde dda essaawa okuwezaawo essaawa.,I have been the one to immunize the child but the service has been good because it has been easy and it has taken me hours to reach.
KOMAMBOGA-2025-03-07T110600-33.wav,Ekituufu ntuusewo naye nsanze ono ali omusawo atukola abadde alina ottukolako abadde ndowooza ebisumuluzi oba nga babikyusizaamuko n'asooka abinoonya oluvannyuma bamaze ne babirita ne bagula ne batu ne bankolako naye n'abalala bakyali oba bali mu bakolako.,The truth is that I have come across this doctor who has been working on us who has been thinking about the keys or replacing them and then looking for them and then buying them and people and working on them but others are still working on them or are working on them.
KOMAMBOGA-2025-03-07T110000-32.wav,Ndabade ndeesse mwana mu ddwaliro naye bankozeko bulungi.,I have been bringing my baby to the hospital but they have treated me very well.
KOMAMBOGA-2025-03-07T114900-38.wav,Bang'ambye nti nno mbu omu omuzadde wange ajja ajje ku mmande nze basobola ku ntiso sso ssaasoboza kujja nsika nti nno ba ng'ende eri waggulu bampe eddagala lino then ku mmande njje bampe bampe mweeyiini.,"They told me that one of my parents would come on Monday and I would be able to go to bed, but I couldn't come, so I went upstairs and they gave me this medicine, then on Monday I would come and give me the medicine."
KOMAMBOGA-2025-03-13T101500-4.wav,Abasawo mbasanze batukozeeko bulungi.,I think the health workers have done us a lot of good.
KOMAMBOGA-2025-03-13T102400-7.wav,Kuba tukazeeko bulungi era tusiimye.,We have worked hard and we are grateful.
KOMAMBOGA-2025-03-13T103500-8.wav,"Abasawo se basanze bubi. Tulaba batukolako bulungi, tewali buzibu bwonna.","The doctors are in bad shape. We are seeing that they are working well on us, there is no problem."
KOMAMBOGA-2025-03-13T111000-15.wav,In particular nno musawo a'ba mbya nfuddeko. Kuba mbadde n'omwana nga mulwadde nnyo bwe dda sisemu. N'amunyamba n'amutwala eri gye bagenda omukolerako.,"In particular, I have worked with a family doctor. I have had a child who was very sick during the flu season. They helped them and took them to the intensive care unit."
KOMAMBOGA-2025-03-13T105700-11.wav,"Kati mbadde nzizaamu okuzaala, mbampisiza bulungi.","I have been in labour for a long time, so I wish you a safe delivery."
KOMAMBOGA-2025-03-13T105700-12.wav,"Bano si mbi: abazaalisa bafaayo, kubanga n'obwoba gw'osobola okuva mu mbeera n'oyogera ebita n'okyamamu katini naye mbalabye si babi, bayisa bulungi abantu.","They are not bad: the midwives are caring, because even you can get out of a situation and say things that could go wrong but I have seen them not bad, they are good people."
KOMAMBOGA-2025-03-13T111900-20.wav,"Kugamba nti mbadde mbwenu gye bagemesezaamu abaana, kye bankozeeko bulungi. Sisa nzeeyo buzibu.",Saying that I have been to the immunization center is the best thing they have ever done for me. I don't think I am the problem.
KOMAMBOGA-2025-03-13T112100-21.wav,"Ssaawa mukaaga. Naye ne mbeera wo mukaaga, musanvu, munaana, mwenda, paka kkumi. Oza ekiro lye ba nkolagako. Sebo ekyo, kati nabadde nebasi. Omwana nagwa ono, weyavudde ku ntebe nagwa. Mwagamba aah, kanzire ewaka, wakire n'akeere kkoma mbuga. Kati bwe nkomiwo, bubukedde ku makya.","Six o'clock. But then I was six, seven, eight, nine, ten. You know the night I was working. That's it, now I'm with the bus. This kid also collapsed, you got off the chair and collapsed. You said aah, I'm coming home, wake up and wake up. Now when I come back, it's morning."
KOMAMBOGA-2025-03-13T111300-19.wav,Okujja wano okujjanjaba omwana wange maze wano ku ssatu naye abasitaba bo bakola bulungi bafujjanjabye ne bateekako amu empiso ne batuyisamu amazzi naye omwana ali bulungi nsuubira agenda kuterera bakoze bulungi.,"Coming here to treat my baby and I have been here for three days but your doctors are doing well, they have treated us with syringes and water, but the baby is fine, I hope they will be fine."
KOMAMBOGA-2025-03-13T112800-26.wav,"Ttabatimenti ya y'abaana. Naye bakozeeko bulungi, bamfuddeeko, bamujjanjabye.","The children's ward. But they have handled them well, they have cared for them, they have treated them."
KOMAMBOGA-2025-03-13T113200-27.wav,Ba nkozeeko bulungi tebampisizza bubi.,I have not been treated badly by my peers.
KOMAMBOGA-2025-03-13T112700-25.wav,Ndaba nkozeeko bulungi. Hmm. Tebakalubiri. Nadda. Hmm. Ndaba nziza.,I think I have made good use of them. Hmm. They are no longer useful. No. Hmm. I see them.
KOMAMBOGA-2025-03-13T112100-22.wav,Naye nga waliwo okubeera omulala okusinga ekawempe kuba nabadde esabeeze zonna zenkugambye naye nga tebakutteko yadde wabula ndi awo okufa omuneebasi ee nsi eyo.,But there is another way to be better than home because I have done all the things I told you but you haven't even touched me yet I am there to die a citizen of that country.
KOMAMBOGA-2025-03-13T114000-31.wav,Tujja wano tujja tujja nga kwano ne bakuwa eddagala. Oba bakuwapa naddala ne bagamba genda ogule. Olwo oba ozze bambi nabo nga toyina sente. Hee kati si nzijja ndaba era ne kati ba'ambye nge nengule. Sirap ezzimu. Hee naye nga okujja wano mba nzize nti nsobola okuyambibwa nga siyinaamu. Naye ne siyambibwa.,We come here we come here and they give you medicine. Or they give you medicine and they say go buy. Then you come with them but you don't have money. They don't come to see me and even now they tell me to buy some syrups. But coming here I have come to know that I can be helped without them. But I can't be helped.
KOMAMBOGA-2025-03-13T121900-37.wav,Ekifo si nebanyaliza bulungi neetuula ne mpa ekipande kyange ne bankolako bulungi.,The venue was not clear enough for me to sit and hand in my signatures and they handled me very well.
KOMAMBOGA-2025-03-13T114600-33.wav,"Empereza wansi tebadde mbi, ebadde nnungi kubanga ne we nnali nnina olubuto ba bayina kkera kale mu bufunze bayina kkera ya maanyi ku mutwe ow'olubuto nnayina olubuto nga bakufaako kale tebakuyisa bubi mm nakati mva mu kugema naye era bakwata bulungi mm.","The services on the ground have not been bad, it has been good because even when I was pregnant some people had cancer so in short they had cancer on the head of the stomach I was pregnant they cared about you so they did not treat you badly in the middle of the vaccination but they also handled me well."
KOMAMBOGA-2025-03-13T115500-36.wav,Tunzeeko bulungi ne bamugema.,Let us wait and be vaccinated.
KOMAMBOGA-2025-03-13T122000-38.wav,Nange nziza okugemesa ekituufu ntuuseemu ne late naye omusawo tankalubirizza aninze era nankolako bulungi so sina kye ncomplaininga abadde okke.,I too have tried to take the correct vaccines and I have come too late but the doctor has not yet given me enough and they have done me a lot of good so I have no complaints if they have been okay.
KOMAMBOGA-2025-03-26T113700-11.wav,"Okateeberezebwa nti omusajja yeetoolodde, nga yeetoolodde akasajja, nga yeetoolodde akasajja.","You are suspected of being around a man, around a man, around a man."
KOMAMBOGA-2025-03-26T112600-9.wav,"Eno nze otute weza HIV, empeza nsanze nnungi bulungi, ziri bulungi.","This is me testing positive for HIV, I'm positive for HIV, I'm positive for HIV."
KOMAMBOGA-2025-03-26T121400-19.wav,Bagamba meter centimeters tezinnaba kati. Ebissa byeyonge bima byeyonge.,They say meter centimeters are not yet.
KOMAMBOGA-2025-03-26T123400-21.wav,Ate nyagala kukebeza n'eggumu n'esirimu byona nsanze biri kirya. Bw'akozeeko bulungi. Bw'akozeeko bulungi.,"I also want to check the firmware and it's contents. If they have done it well, they have done it well. If they have done it well, they have done it well. If they have done it well, they have done it well, if they have done it well, they have done it well, if they have done it well, they have done it well, if they have done it well, if they have done it well, if they have done"
KOMAMBOGA-2025-03-26T124800-29.wav,Bulungi. Badde bwebakujjanjabisa mwana. Bakutte bulungi.,Good. They have been treating the baby. They have handled it well.
KOMAMBOGA-2025-03-26T124700-27.wav,Nazze mu department y'abavubuka era nazze ku makya naye nga tebaliwo era nnaluddewo nnyo naye bankoze bwe bazze bankozeeko bulungi.,I came to the youth department and I came in the morning but they were not there and I was very late but they have treated me so well.
KOMAMBOGA-2025-03-26T124900-30.wav,Bambi bafaayo ku bantu mm nze kyenda abangi mm nnadeze kujjanjaba mwana ono mu kifo baasenyiga naye bambi batufuddeko mm kale mu kwano.,"Sorry for the people who cared for me in my nineties, many of them willingly attended to this child in the intensive care unit, but sorry for the people who have attended to us in the intensive care unit."
KOMAMBOGA-2025-03-26T131000-38.wav,"Ku kukoma mbuga y'ebyenjagi nnyo, waliwo obuzibu bumu abakolawo tebakeera, naddala nnyo nze ava eri mu baana, eeh tebakeera bakeerebwamu kko ate eddagala erimu teribeerawo.","At the extreme end of the spectrum, there is one disadvantage: workers do not work in time, especially in children, they do not get tested and some medicines are not available."
KOMAMBOGA-2025-03-26T125400-32.wav,Nze funa ddagala naye sinalifuna.,I was given medicine but I didn't receive it.
KOMAMBOGA-2025-03-26T125300-31.wav,Nze musanze bulungi kubanga buli kinyeenze kye mbadde nsuubira kye bankozeeko omwana ng'abadde mulwadde naye bampa dda makerenda ne mva nga nfunye amakerenda.,I have found them safe because all I expected was what they did to me when the baby was sick but they already gave me makerenda and I came back with makerenda.
KOMAMBOGA-2025-03-26T125900-33.wav,Ndi? Dokita ttazi.,Am I the right doctor?.
KOMAMBOGA-2025-03-26T131900-40.wav,Tuliko okusinziira bwe mbadde kubanga nziza nsesema nga zisobola na kuwubeera naye ate lye zibayina empeke ze bambaddeko wakati mpulirako enjawulo.,"We are there basing on what I have been up to because I can still smell and smell but when I see the tablets they have put on in the middle, I feel different."
KOMAMBOGA-2025-03-26T132900-43.wav,"Nadde nze kwekebeza musaayi, abasawo bankozeeko bulungi.","Even for me to get a blood test, doctors have handled me very well."
KOMAMBOGA-2025-03-27T091400-2.wav,Okubanga tuli wano ku reception siyina gwendabawo. So kati kale siyina step yoona gye nteekinze.,"Since we are here at the reception, I don't want to be here. So now I don't have any step to take."
KOMAMBOGA-2025-03-27T091500-3.wav,Bankolako bulungi na buzibu.,They have dealt with me well and badly.
KOMAMBOGA-2025-03-26T132500-42.wav,Katono nnyo? Hmm? Teba mpisizza bubi. Hmm. Abadde okujjanjaba mwanyi. Hmm. Nankozeeko bulungi. Bakwalide eddagala. Hmm. Kaali n'enziza.,Very little? Hmm? They have not affected me badly. Hmm. They have been treating my daughter. Hmm. They have treated me well. They have taken medication. Hmm. I was sick.
KOMAMBOGA-2025-03-27T105900-8.wav,"Omwana eri nno eri muluma. So omusawo n'agamba ekibuno kyazimbye, tumale okujjanjaba ekibuno tukunawo oba likooli. Tewali buzibu.","The baby is now in pain. But the doctor said the lump is swollen, let us just treat the existing lump or cancer. No problem."
KOMAMBOGA-2025-03-27T104900-7.wav,Limik. Twooke tubeera na point note ebadde ya leero. Yeeba tukozeeko bulungi.,Limit. Let us first have today's point note. I hope we have made good use of it.
KOMAMBOGA-2025-03-27T104600-6.wav,"Polesa era akadomola kolesa, polesa nga nnungi, kisimbye, eddagala lyampa ddi, liri nnyamba buli kiseera.","The polythene bag is also light, the polythene bag is good, it is firm, when did you give me the medicine, it helps me all the time."
KOMAMBOGA-2025-03-27T111900-11.wav,Taba n'abakutandika naye eee kusinziira.,They don't have beginners but they are based.
KOMAMBOGA-2025-03-27T112200-13.wav,"Eri mwatino ento. Then, newano ku musaayi nako tewabadde wabye. Before you go.","They are very young. Then, even their blood was not there. Before you go."
KOMAMBOGA-2025-03-27T110400-9.wav,Bungi kuba baddinize kugya mu family era keeyo era ebadde y'amaanyi ebadde nnungi nakozeeko bulungi.,A lot of it is because they come from a family and that has been the strongest thing I have ever done.
KOMAMBOGA-2025-03-27T112000-12.wav,Nga tewali ddagala nga bayina okuwandiikira ate obende ogule eddagala ebweru.,"In the absence of prescription drugs, go and buy medicine from abroad."
KOMAMBOGA-2025-03-27T110600-10.wav,Ba batwakiridde bulungi batukozeeko bulungi kale. Eeh. Ne ssanyu lingi. Ne batuwako magezi. Eeh. Ffe.,"They welcomed us very well, they served us very well, and they were very grateful, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us, and they advised us"
KOMAMBOGA-2025-03-27T112900-15.wav,Bakutte bulungi. Bakutte bulungi.,They have handled it well. They have handled it well.
KOMAMBOGA-2025-03-27T113100-18.wav,Taata olwo tuteraawo eddwaliro lino kuba lituyambye tuva wala netuva e Kasangati netujja eno Kasangati eddwaliro tulire kayo netujja eno kubanga e Kasangati empeereza ya yosiya emu ye eyawano Kasangati bakuggyako ssente naye eno tebatuggyako ssente nga ebyo ebyange.,Dad then we are setting up this hospital because it has helped us from far we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati and we come from Kasangati
KOMAMBOGA-2025-03-27T113300-19.wav,Olwaleero we ngezeyo ngeze kunzijako musaayi.,I went there to get a blood sample today.
KOMAMBOGA-2025-03-27T113000-17.wav,Basawo be kkoma mbuga abasawo abakola mu ddwaliro lye kkoma mboga nga kibakiriza bubinganze ngenzeeyo ng'omutwe ekifuba eky'omunda omugongo n'olubuto nga b'ennuma naye bampadde ddala mpekenze nalyo ewaka mbeebaza.,"The doctors in my home and the doctors in my vegetable garden hospital allow me to go there with my head, chest, back, and stomach painful but they have allowed me to go back home with it thank you."
KOMAMBOGA-2025-03-27T113300-20.wav,"Nabadde nze kunzizaako musaayi, ebiseera bya nnungi.","I was the one who bleed for me, it was a good time."
KOMAMBOGA-2025-03-27T113800-22.wav,Luli mu kusooka omwezi guli ndokita w'abantu eri wansi bulungi nnyo era gwe nsanzeeyo olwaleero kyakola akikola ki akimanyi naye leero bwe nsuukidde wano bwe tutuukira.,"It's the first of the month, it's the lowest month of the year, and the person I've met today does what they know, but today when I'm over here, it's when we get there."
KOMAMBOGA-2025-03-27T113400-21.wav,"Eee, tebayina ku tebetyuma ekibikebera nti biri oba nga bingende ebweru. Ankebera enkome ewe, lizaasinzibawo. Bampima basobole okunzijanjaba mpya eddagala. Ebwa ekirime kirungi.","Yes, they don't have a device to test whether they are inside or outside the country. They check their stores, it's there. They test me so that they can give me new medicines. It's a good crop."
KOMAMBOGA-2025-03-27T114100-26.wav,Bakufaako bakubuuza era nabo bagamba era ne ddagala ne bali kuwa.,Caregivers consult and respond and medication is provided.
KOMAMBOGA-2025-03-27T114000-25.wav,Lino kitegeeza mwana badda agenda kudabblinga eddagala nga byona bikola ekintu kye kye. Hmm. Era next time mu bakulu nja kukkiriyanga bukirizi. Hmm naye bagezeeko twawulire omusawo ow'abaana ab'ewabaana n'ow'abakulu ab'ewabaana. Kuba kyendabye waggulu eno nti tebakola kituufu ky'oyina kufuna ng'omwana kituufu nga si kituufu nayo. Hmm. Ako abantu abamu ndowooza tebategeera nzungu zaabwe boogera nebagira naye nga owulira.,This means that the child will go back to taking medication which is all doing their thing. Hmm. And next time in adults I will accept the vaccine. Hmm but let's try the pediatrician and the pediatrician. Because what I have seen above is that they don't do the right thing you should get as a child which is also not right. Hmm. So some people I think don't understand their English they talk about but you hear.
KOMAMBOGA-2025-03-27T113900-24.wav,"Navuga naye nabagamba nti kati muteereko n'eddagala lino. Bo ba mpadde panadol bano, omwana ayina temperature atukolola kyokka ayina ssennyiga naye nga bataddeko panadol yekka. Nange nnina kumpuleyinza mu kusooka era nga naye sokke. Bakuba mbadde wano esiirabukka lye zinagulayo kko ezimu. Kati bwe ngenze eri wansi, bwe bakumpuleyinza bali, abamu n'agamba aah, mwemereke agenda ajja kudda? Dokita n'abagamba nti kati muteereko eddagala eddala. So bwemaliriza okunteereka eddagala eddala.","I was driving but I told them to take this medicine now. They gave me these panadols, the child has a high fever but they have a flu but they only put panadols on it. I also have the flu in the first place and they are sick. I have been here for a couple of hours. Now when I go down, when the flu is there, some people say aah, where will the flu be coming from? The doctor told them to take"
KOMAMBOGA-2025-03-27T113800-23.wav,"Namba eziti ewali doctor namba kkumi we babeera omuzungu, omuzungu simusanzeemu naye nzomayo ndi mugezi n'ekengera abasawo abayigala n'abatakolaki, ate ssababira omuntu akwatako ng'atayina experience, kati mwe wabaddemu omwami omuddugavu omuwanvu, ne mwekengera naye nga ono atayambako buyambi ono, n'entuula, yeekyo amaze okwekengera kwanvu ekubadde kutuufu kuba omuzungu, abandikidde n'engera ku musajja n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obadde n'obad","There are those numbers where there is doctor number ten where they are a white person, I have never met a white person but I am wise and I suspect both interested and uninterested doctors, and I don't ask for an inexperienced person to touch you, now you have a tall black gentleman, you are careful but this one has never put on this helmet, they sit, that is after a long suspicion which has been true as a white person,"
KOMAMBOGA-2025-03-27T120700-34.wav,Bati batukolako bulungi mwana gwendeeta mm muleeta muddwaliro.,They are doing us a favour by bringing the baby to the hospital.
KOMAMBOGA-2025-03-27T120000-33.wav,Nze mbadde ndaba nga nnungi okujjako abo abantu betubatusinkanye awo tukolako. Mw'oyinza okusanga obutuufu nga agola oba nga mugambo oba nga biki ekisubuukyo okka naye nze ndaba nga tewali buzibu.,"I have seen it as good, except for those people that we meet and we deal with them. You may find the truth in what they say or the rumor or what they say but I don't see a problem with it."
KOMAMBOGA-2025-03-27T115900-32.wav,Tulaba nga talina ky'akola ki? Ky'akola ate ng'atuwisizzaawo nga ali mu kuyimirizaawo. Nti tulaba nga atali mukozi. Nange kenyini eyange omusajja asituse walala najja nagiggyawo nampita nagenda mu ntebe endala nankolako era tusisinkanye omuntu omupuule abadde ye aze kukola ki? Mm. Muwala muto bwati. Omu nga awo naye si.,"What do we see them doing? What do they do and what have they provided for us while they are making a living. That we see them as if they are not a worker. I personally, a man has moved from one place to another and I have taken it off and I have gone to another chair and I have worked with them and we have met a beautiful person who has come to do what? Mm. A young girl like this. One like that but not."
KOMAMBOGA-2025-03-27T114600-28.wav,"Badde nnungi. Nga nkuzeeko bulungi, tebabadde na buti bubonabona.","They have been good. When I was growing up, they did not have problems."
KOMAMBOGA-2025-03-27T115800-31.wav,"Lwakuba mulimu omu gwe baaleesemu ate alabika kuba nze wano nduddewo, alabye nga simula. Naye akalubiriza we ba ngambye okutwala ffayiro naye nga ndaba tukola kuno zibeera awo, ng'ali ku ssimu. Ffayino yabadde olotadde ku ffayiro za ffayino, ffayino twemye bwe nkugamba era nsituuse n'embuuzaako abalala abasawo mu mbaga banna, bwe mputte ffayiro watuufu oba siwatuufu? Tiwatuufu era n'asigala ng'ali ku bibye.","Because one job was brought up and it seems like I have been here for a while, they have made sure that I don't. But they insist on taking the file when I tell them to take the file but when I see them doing this, they stay there, on the phone. Fayino was putting the file on the line, the file is empty when I tell you and I have even asked some of the other wedding doctors, have I taken the file right or wrong?"
KOMAMBOGA-2025-03-27T114800-29.wav,Bankoledde eri mu youth department. Ne bamala ne basindika eno wansi okulaba doctor. Naye doctor alabye mu hard school. Hmm. Hard. Ne bamala nankolako forcefully. Ne basindika wano ku gundi wa okufuna eddagala then enzira eri ba eri bankozeeko mu ggwaaggulu. Then ne bamumaliriza.,They made me work in the youth department. Then they sent me down to see the doctor. But the doctor has seen me in the hard school. Hmm. Hard. They just made me work forcefully. They sent me here to get medicine then the path to the people who have worked for me up there. Then they finished them.
KOMAMBOGA-2025-03-27T121500-36.wav,Okubanga ba batukebedde bulungi ate bakakkamu mm ky'ekirungo ekiriwo.,Because they have tested us well and are comfortable with the available ingredients.
