Filename,Transcription,Translation
KABALAGALA-2025-03-20T073500-21.wav,"Hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello,alo, dgoolo:abalzi wabalzi wabalzi wabali lubalzi wabali lubalzi wabali lubalzi lubalzi lubalzi lubalzi lubalzi lubazi lubazi lubazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwazi lwaki lwaki lwaki lwaki lwaki lwaki lwaki lyewa mbeera ekibyobokekyamuwako lyekibyobaka omu.","Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello, Hello,"
KABALAGALA-2025-03-20T085200-23.wav,Sebankozeeko bulungi hmm bankozeeko bulungi nnyo.,They have been good to me and they have been good to me.
KABALAGALA-2025-03-20T090600-27.wav,"Ekisinziira nga ba poliisi baffe bano, bwoyita okkoma ofiisi omunnyonyola omusanga gw'oleese, n'akunnyonyola, n'omunnyonyola, n'akubuuza, n'omuddamu n'agamba kati n'akola advice ky'ogenda okkola. N'agamba kola bwoti, kola bwoti n'emitendera egyitibwamu. Naye ekisinziira omusanga ogwokoze, obuba munene akubuuza.","Depending on these police officers of ours, you call them into office and you explain to them the crime you brought, they explain to you, they explain to you, they question you, you respond to them and they say, ""now do this, do this, and the procedures"". But depending on the seriousness of the crime, they ask you."
KABALAGALA-2025-03-20T085200-24.wav,Tuyinako mawole nga batukozeeko bulungi.,We have some mothers that have done us a lot of good deeds.
KABALAGALA-2025-03-20T092700-31.wav,"Omukazi: God Bless Ugandan people also. Love you some. Mukagala nnyo, mukagala nnyo. Omyero: Thank you very much. You are welcome.","Woman: God Bless Ugandan people as well. Love you some. You love me so much, you love me so much. Omyero: Thank you very much. You are welcome."
KABALAGALA-2025-03-20T094900-32.wav,Abasirikale bo batuyisiza bulungi nnyo era tubebaza nnyo.,The soldiers have served us very well and we are grateful.
KABALAGALA-2025-03-20T104900-44.wav,Engeri ya basirikale nga bw'oyogedde naye. Aladde ayogera bulungi si bubi. Bakuuma komello.,The behavior of the soldiers as you talked to them. Aladde speaks fluently is not bad. They guard the prison.
KABALAGALA-2025-03-20T102800-43.wav,N'ezo wano eno n'abadde nziruse ewaka kuba mbonyabonya. Naye n'ekituusa n'emba n'ennyala teba tebaafuddeko ne bagamba nti nze ndi mubi mutiiza okola ekibimbe. Yenna y'abasirya nti mbadde n'omusajja n'enzirukayo ewaka nti bazina nga siriwo. Naye wano ng'abawo ebakaawo naye n'ebakaate kuva mu makyamba ddala eti bano kye bangozeeko kati bano ng'abamu n'enderi.,Even those here have been running away from home because I have been torturing them. But even the family and the wives have never cared about it and they say I am a bad person who threatens to do something. Whoever tells them that I have been with a man and I ran away from home that they are dancing in my absence. But here it's happening but it's coming from families really that what these people have done to me now they are
KABALAGALA-2025-03-20T101700-42.wav,Kusasala kufuna police letter. John esimu yange yabuze. So naye bakozeeko bulungi. So I've delayed a little bit. Naye bankozeeko bulungi finally. Nafunye omuntu ankolako ne mvaayo. Tuyanziza.,So I crossed to get a police letter. John my phone was lost. So they also handled it well. So I've delayed a little bit. But they handled it well finally. I got someone to handle me and I came out. Tuyanziza.
KABALAGALA-2025-03-25T140600-5.wav,Aa nze nazze wano empeereza gennale sijja gamba nti nnungi oba mbi just fair naye nga ekireetera okubeera fair is that ndireyinzeemu gwe mbadde njagala simusanzeewo nesanga nga nnyonoonya obudde bwennandibadde oba oli unsavinga naye nkolamu ebintu ebirala ebiri productive naye nga maze n'enyambibwa era bitambudde bulungi soffa singa baba batambula.,For me I came here general services I won't say good or bad just fair but what makes it fair is that I have come in whom I wanted I have never met and found myself wasting time which would be or you are not saving but I do other productive things but I have been helped and have walked safely sofas if they are moving.
KABALAGALA-2025-03-25T143300-10.wav,Omukyala: Ntabikayo. Anze okusinzira kubanga alimaze nga azitera mu kukoleesi. Ssabye nze nnabadde nga nsijanye nga lwe ngenda nti bankalubiriza era baba bawadde bangukakako bulungi. Tekinyinza okubagamba.,Wife: I don't know. I've been waiting for them because they've been busy in class. I asked them if they would be happy to see me and if they would be happy to see me. I can't tell them.
KABALAGALA-2025-03-27T121100-14.wav,"Osobola okungamba omuserikale ayogedde nange bulungi namba mu mukezi mu baluwa ya muwanavu. Kale. Omuserikale byo nsanze ku reception, ayogedde nange bulungi kuba mpwa budde kuba mbadde senna kyemanyi kuba nze mbadde nsubira nti ebaluwa asobola ogimpa wano naye ang'ambye ebaluwa tuba tuyina gifunira kololo eriko entapo, kati engeri gy'anzizemu alabika alabika nga nga n'omuwanavu.","You can tell me an officer who spoke to me kindly in the middle of a long letter. So. The officer I found at the reception, they spoke to me kindly because I was taking time because I was wondering what to do because I was hoping they could give me a letter here but they told me the letter if we had a letter we would get it for a collar with holes, now the way they respond to me looks like they have a long"
KABALAGALA-2025-03-27T122800-20.wav,"Ekka nze. Sooka ozimye. Hmm. Nayinza okugamba, nziza wano, musirikale nayegere naye nge bulungi, na nna nnafaako kale. Kyemba njogera? Hmm. Nziza wano, omusirikale nnafako, nanziramu mu bulungi. Eeh.","Let me go first. Hmm. I could say, come here, a soldier came with me, but I was okay, so I cared. What am I talking about? Hmm. I came here, a soldier took care of me, they responded to me kindly. Eh."
KABALAGALA-2025-03-27T121900-18.wav,Nayogedde nabo nti kale bankute bulungi tebankute bubi.,I told them to hold me tight and not hold me tight.
,,
,,
,,
28,,
